word,word_count,x_coord,y_coord,rank
kuini,7735.0,2.4011297,2.1903017,169
pera,6706.0,0.39206585,-1.8430896,170
mahia,6047.0,-1.9746706,1.4540291,171
kura,6528.0,3.3567073,1.0802742,172
hunga,5730.0,1.2545811,0.82306653,173
hapu,5847.0,5.3881907,2.3022618,174
ete,5359.0,-0.17821917,-0.0011304915,175
whakaae,5902.0,-0.90004677,3.6993818,176
otira,8143.0,0.46077046,0.7328509,177
tiaki,5965.0,0.56890386,1.806082,178
hara,5810.0,-0.45317408,1.1981196,179
mehemea,7480.0,-1.1889354,3.0368466,180
panui,6988.0,2.3472447,3.9887455,181
ngaro,5729.0,1.884088,-0.5028115,182
pu,6116.0,1.2424327,-3.5566936,183
ritenga,5601.0,-1.7133183,2.2365217,184
minita,5624.0,2.421046,2.970955,185
paremata,6400.0,-0.79408646,4.645601,186
pauna,8797.0,-0.14823914,-5.920674,187
reta,5966.0,-0.019949144,3.1972427,188
rakau,6516.0,3.839505,-4.927637,189
whawhai,5852.0,3.3895755,-0.54818225,190
rangi,6085.0,5.5701723,-1.1994728,191
pooti,5441.0,0.6766201,5.7670193,192
hou,5802.0,-0.24214649,-2.2929993,193
toku,5951.0,1.6212353,2.7970846,194
kaipuke,5694.0,4.115084,-3.1433208,195
hoia,5684.0,4.5993214,-0.49523893,196
waho,5320.0,2.799265,-1.938631,197
kingi,6301.0,3.699952,0.16887012,198
reo,5033.0,0.65898484,2.5028348,199
tuhi,5008.0,-0.63902056,2.4179308,200
waahi,4868.0,3.7389963,2.1360385,201
ina,5304.0,0.36915696,1.1258345,202
pepa,5174.0,-1.6118015,-3.9913764,203
tamaiti,5121.0,4.95648,0.12814018,204
hoatu,4737.0,0.4091241,2.3297837,205
tuatahi,5153.0,2.178833,2.863155,206
mahara,4875.0,0.657471,1.990299,207
whakawa,6408.0,-1.1929437,4.3012652,208
eke,4841.0,4.833766,-5.0684786,209
pire,5358.0,1.4655688,5.6368985,210
ahakoa,5719.0,-0.640017,1.3308613,211
kaati,6265.0,2.9270506,3.0445745,212
taone,4857.0,3.4410279,-0.96313083,213
maua,4509.0,-0.027229555,-1.3162566,214
moana,5223.0,4.925227,-2.427742,215
tinana,4584.0,2.6483269,-1.5667819,216
maha,5079.0,1.1157912,0.5113857,217
awa,4786.0,5.188591,-2.9569395,218
toru,5356.0,-0.22120821,-5.8515673,219
kaunihera,4820.0,2.0002337,5.626329,220
kihai,5093.0,0.10996301,-0.6428143,221
ingarangi,4992.0,3.9641447,0.005666099,222
pouri,4385.0,2.756692,0.7716645,223
whaka,4429.0,2.5568154,1.5908265,224
toa,4463.0,0.68356216,-3.2004292,225
wha,5245.0,-0.5309177,-5.6599927,226
mano,5266.0,-1.1648567,-5.8810744,227
timata,4049.0,3.3279145,1.3455062,228
ua,4831.0,-1.2350878,-2.177502,229
tangi,4092.0,4.191599,-0.5274993,230
ako,4560.0,-2.135021,-0.09498811,231
ekore,4510.0,-0.8865498,-0.46212348,232
runanga,4624.0,-0.22919236,3.443164,233
homai,3817.0,0.097820766,2.404407,234
akarana,6647.0,6.503003,-4.102343,235
uta,4019.0,3.3138895,-3.0424955,236
karanga,3684.0,2.3252444,-0.26201084,237
raruraru,3722.0,-0.42264223,3.8113852,238
kaumatua,3542.0,4.748986,1.0661085,239
pono,4072.0,0.20821154,1.4489478,240
patu,3724.0,2.318046,-1.3893621,241
taenga,3241.0,2.8695273,0.15708572,242
tupu,3463.0,2.276461,-4.476944,243
whakahe,3440.0,-0.18443497,3.7066753,244
uru,3335.0,2.229556,2.2466908,245
aroaro,3418.0,0.8711461,4.0596843,246
inaianei,4261.0,-0.8707174,1.3840507,247
waikato,5186.0,7.215154,-1.0639206,248
riri,4834.0,2.0276878,-0.87888056,249
korerotia,3325.0,-0.045302603,2.1810818,250
ringa,3365.0,3.0938303,-3.3930433,251
huarahi,3259.0,0.84963226,2.5247836,252
marae,4060.0,4.949519,2.2712224,253
tima,3482.0,3.2867448,-2.4014738,254
whakapono,3494.0,1.8828084,1.3648076,255
tahuri,3196.0,0.90957654,0.6193636,256
manu,3445.0,3.397105,-2.3864412,257
mihi,3459.0,4.289008,2.4949844,258
hori,4636.0,8.898103,-0.12488471,259
onga,3056.0,3.1610556,2.1242094,260
kakahu,3434.0,1.5475925,-4.69918,261
oranga,3243.0,1.0255407,1.9478889,262
kahu,3494.0,1.1833544,-4.381068,263
mohiotia,2987.0,0.87467843,2.0494301,264
kawe,2940.0,1.6227404,-1.5396293,265
karakia,4110.0,2.984533,-0.016678626,266
koa,3632.0,1.5179715,1.5609291,267
pau,2980.0,0.14721769,0.86526704,268
