word,word_count,x_coord,y_coord,rank
minita,5624,-0.5234683,0.040570557,194
kaipuke,5606,-2.7181363,-4.8364396,195
ritenga,5601,-4.2912135,2.192938,196
pooti,5441,1.1206796,4.281903,197
ete,5359,-3.8648157,1.0886433,198
waho,5320,-1.7807158,-2.1902719,199
ina,5257,-3.4346213,3.436987,200
whakawa,5244,1.0326983,4.824048,201
hoia,5235,-4.178138,-4.141896,202
waikato,5186,4.2848516,-1.0509026,203
tuatahi,5153,-0.28980085,0.6463936,204
toku,5148,-1.4676393,0.7005394,205
tamaiti,5121,0.61960715,-0.8700593,206
pepa,5092,0.20833875,2.8887634,207
maha,5079,-3.1300642,0.5311068,208
etita,5072,1.4152082,2.417862,209
pire,5042,0.02727902,4.024442,210
moana,5026,-1.9629571,-4.2155423,211
kihai,5022,-5.389196,0.0039422605,212
tuhi,5008,0.6722666,2.7993443,213
reo,4964,-0.9388051,2.6655703,214
ingarangi,4957,-5.307165,-3.5653284,215
mahara,4875,-3.5301654,1.552105,216
waahi,4868,-1.8436722,-0.61068565,217
eke,4841,2.0927577,-4.057215,218
ua,4831,-5.2059836,2.0892162,219
taone,4769,-3.6346347,-4.5788646,220
hoatu,4737,-1.483246,3.2085526,221
tinana,4584,-2.2292676,-3.4074192,222
ako,4560,-4.233109,3.0521252,223
runanga,4560,0.37735048,2.9326694,224
kaunihera,4553,-0.055629272,4.7260895,225
awa,4534,-2.2489233,-5.4029584,226
ekore,4510,-5.491539,-0.12697451,227
maua,4509,-0.60953337,0.6957233,228
toa,4463,1.2099503,-2.711798,229
toru,4372,-6.0727906,-2.5783803,230
wha,4369,-6.3193436,-2.444085,231
whaka,4360,-1.2170286,2.0525727,232
pouri,4342,-2.7866337,-1.0987564,233
mano,4271,-6.892235,-3.670677,234
inaianei,4261,-3.7260537,1.5746588,235
tangi,4092,0.07707277,-1.4648012,236
timata,4049,0.36067617,1.694388,237
whanganui,4037,4.291634,0.9130921,238
uta,4019,-2.0173724,-4.9902573,239
wananga,3888,0.69840205,1.4694833,240
nepia,3873,2.162116,-0.69805855,241
pono,3849,-4.1933513,0.33661798,242
homai,3817,-1.5056183,2.2664053,243
raruraru,3722,-2.4634008,2.5083215,244
karanga,3684,-0.33708927,-1.1803206,245
poneke,3646,2.314863,0.08888379,246
patu,3600,-3.7112648,-3.0469158,247
kaumatua,3542,-0.23233832,-0.22314855,248
riri,3502,-4.3498635,-2.1325014,249
whakapono,3494,-3.1639917,-0.5148989,250
tima,3482,-1.3873891,-3.6718524,251
mei,3476,2.1993334,1.3374671,252
mihi,3459,0.49909356,0.5482881,253
hori,3455,5.1044173,0.9098733,254
whakahe,3440,-1.6002215,2.8190243,255
niu_tireni,3423,-7.3504353,-0.084899575,256
aroaro,3418,-0.8067955,3.1287997,257
marae,3389,0.8273584,0.7226655,258
tupu,3389,-3.9089313,-2.4133632,259
uru,3335,-1.5375884,2.0754488,260
ringa,3326,-1.0002422,-5.177184,261
korerotia,3325,-1.6727782,2.4793391,262
wiremu,3319,5.8537836,0.15280631,263
manu,3302,-0.24172945,-3.6675472,264
kakahu,3293,0.73156244,-5.171647,265
huarahi,3259,-3.3522346,0.93115234,266
nama,3255,-0.44030815,4.0630546,267
wairarapa,3242,2.7417824,1.7871362,268
taenga,3241,-2.1632435,-2.031399,269
whakarongo,3206,-1.654999,0.3688144,270
tahuri,3196,-4.0285664,-1.4816297,271
turanga,3190,1.7341648,1.3691092,272
karakia,3159,-1.5142226,-1.4940927,273
kahu,3131,0.5902348,-4.5888047,274
ehara,3118,-4.2557693,0.2386548,275
kote,3098,0.19649726,1.6564971,276
rarangi,3096,-1.1423151,3.5132456,277
hipi,3087,0.78146493,-5.480914,278
koa,3086,-2.2497358,-0.35179988,279
tohu,3076,-1.7140919,-1.1378247,280
oranga,3074,-3.280206,0.57224184,281
taia,3047,0.92846674,2.5018861,282
hau,3042,0.7424776,-3.477594,283
matenga,3008,-0.027120102,-0.84421974,284
tua,3004,-2.6209142,-2.6429467,285
haora,3001,1.160434,-1.0140989,286
waipiro,2992,-4.2168503,-1.6935419,287
mohiotia,2987,-2.7798877,1.9935014,288
rohe,2987,-0.97980374,4.4409037,289
ariki,2981,-1.8318765,-0.40616566,290
pau,2980,-6.5970902,-1.9735458,291
muri_iho,2940,-4.284399,-1.9017975,292
kawe,2940,-1.3310071,-1.0988003,293
eka,2927,-1.9433036,5.552682,294
whakarite,2920,-2.3287241,3.7524443,295
onga,2907,0.02771628,1.5425172,296
hereni,2851,-6.485379,-0.26448464,297
kii,2834,-2.6514754,0.91328835,298
putanga,2825,-1.1395376,2.465934,299
ahi,2818,-1.5236298,-5.4057055,300
kuri,2816,-0.24589302,-5.4366536,301
naku,2812,-1.2383419,1.5392559,302
tuarua,2785,0.0063559455,0.7116745,303
taranaki,2773,4.131517,-1.2071534,304
whakaaetia,2773,-0.92674077,3.7942011,305
rau,2757,-1.2222171,-5.127178,306
uri,2746,-0.02513228,-1.1333555,307
hikurangi,2736,1.6598723,2.267577,308
nunui,2723,-1.5962237,-4.31461,309
panuitanga,2718,0.2552337,3.1180398,310
heke,2678,-1.1685092,-2.5097709,311
otiia,2661,-5.9800644,0.9618231,312
utua,2622,-2.5367873,4.806424,313
tautoko,2616,1.5292115,3.7948635,314
mutunga,2615,-0.58723044,1.9729326,315
ahu,2576,-3.0429614,-4.7936206,316
matauranga,2575,-2.5824242,0.23660864,317
kati,2571,-0.7957655,0.95600533,318
mona,2569,-4.4806666,-0.42788783,319
patai,2569,-0.06706094,2.473812,320
